/* LOCATION UPDATES */

USERID,CONTRACT,LOCATION_NO,ACCESS_TYPE,ACCESS_TYPE_DB
RVDILK,GRI01,EN2-O-3-2,Edit,EDIT
RVDILK,GRI01,EN2-O-3-3,Edit,EDIT
RVDILK,GRI01,EN2-O-3-4,Edit,EDIT
RVDILK,GRI01,EN2-O-3-5,Edit,EDIT
RVDILK,GRI01,EN2-O-4-1,Edit,EDIT
RVDILK,GRI01,EN2-O-4-2,Edit,EDIT
RVDILK,GRI01,EN2-O-4-3,Edit,EDIT
RVDILK,GRI01,EN2-O-4-4,Edit,EDIT
RVDILK,GRI01,EN2-O-4-5,Edit,EDIT
RVDILK,GRI01,EN2-P-1-1,Edit,EDIT
RVDILK,GRI01,EN2-P-1-2,Edit,EDIT
RVDILK,GRI01,EN2-P-1-3,Edit,EDIT
RVDILK,GRI01,EN2-P-1-4,Edit,EDIT
RVDILK,GRI01,EN2-P-1-5,Edit,EDIT
RVDILK,GRI01,EN2-P-2-1,Edit,EDIT
RVDILK,GRI01,EN2-P-2-2,Edit,EDIT
RVDILK,GRI01,EN2-P-2-3,Edit,EDIT
RVDILK,GRI01,EN2-P-2-4,Edit,EDIT
RVDILK,GRI01,EN2-P-2-5,Edit,EDIT
RVDILK,GRI01,EN2-P-3-1,Edit,EDIT
RVDILK,GRI01,EN2-P-3-2,Edit,EDIT
RVDILK,GRI01,EN2-P-3-3,Edit,EDIT
RVDILK,GRI01,EN2-P-3-4,Edit,EDIT
RVDILK,GRI01,EN2-P-3-5,Edit,EDIT
RVDILK,GRI01,EN2-P-4-1,Edit,EDIT
RVDILK,GRI01,EN2-P-4-2,Edit,EDIT
RVDILK,GRI01,EN2-P-4-3,Edit,EDIT
RVDILK,GRI01,EN2-P-4-4,Edit,EDIT
RVDILK,GRI01,EN2-P-4-5,Edit,EDIT
RVDILK,GRI01,EN2-Q-1-1,Edit,EDIT
RVDILK,GRI01,EN2-Q-1-2,Edit,EDIT
RVDILK,GRI01,EN2-Q-1-3,Edit,EDIT
RVDILK,GRI01,EN2-Q-1-4,Edit,EDIT
RVDILK,GRI01,EN2-Q-1-5,Edit,EDIT
RVDILK,GRI01,EN2-Q-2-1,Edit,EDIT
RVDILK,GRI01,EN2-Q-2-2,Edit,EDIT
RVDILK,GRI01,EN2-Q-2-3,Edit,EDIT
RVDILK,GRI01,EN2-Q-2-4,Edit,EDIT
